Tiempo_s,GPS_X,GPS_Y,Distancia_m,Fuerza_G,Modo,Alerta_YOLO,Velocidad_kmh,TTC_s,Estado_Red,Latencia_Buffer_s
0.5,40.0,-44.27,80.0,0.0,PATROL,NONE,0.0,800.0,OPTIMA,0.0
0.51,40.0,-44.27,80.0,0.13,PATROL,NONE,0.0,800.0,OPTIMA,0.0
0.52,40.0,-44.27,80.0,-0.07,PATROL,NONE,0.2,800.0,OPTIMA,0.0
0.53,40.0,-44.27,80.0,-0.03,PATROL,NONE,0.39,735.82,OPTIMA,0.0
0.54,40.0,-44.27,80.0,0.03,PATROL,NONE,0.59,492.1,OPTIMA,0.0
0.55,40.0,-44.27,80.0,-0.05,PATROL,NONE,0.79,363.88,OPTIMA,0.0
0.56,40.0,-44.27,49.38,0.02,PATROL,NONE,0.99,179.7,OPTIMA,0.0
0.57,40.0,-44.28,49.35,-0.1,PATROL,NONE,1.19,149.1,OPTIMA,0.0
0.58,40.0,-44.28,49.44,0.11,PATROL,NONE,1.39,128.18,OPTIMA,0.0
0.59,40.0,-44.28,49.41,-0.11,PATROL,NONE,1.59,111.55,OPTIMA,0.0
0.6,40.0,-44.29,49.31,0.15,PATROL,NONE,1.79,99.09,OPTIMA,0.0
0.61,40.0,-44.29,49.28,-0.01,PATROL,NONE,2.0,88.88,OPTIMA,0.0
0.62,40.0,-44.3,49.34,-0.13,PATROL,NONE,2.2,80.89,OPTIMA,0.0
0.63,40.0,-44.3,80.0,0.17,PATROL,NONE,2.39,120.42,OPTIMA,0.0
0.64,40.0,-44.31,80.0,-0.02,PATROL,NONE,2.6,110.74,OPTIMA,0.0
0.65,40.0,-44.32,80.0,-0.04,PATROL,NONE,2.8,103.01,OPTIMA,0.0
0.66,40.0,-44.33,80.0,0.15,PATROL,NONE,3.0,96.12,OPTIMA,0.0
0.67,40.0,-44.34,80.0,-0.05,PATROL,NONE,3.2,90.01,OPTIMA,0.0
0.68,40.0,-44.35,80.0,0.13,PATROL,NONE,3.4,84.69,OPTIMA,0.0
0.69,40.0,-44.36,80.0,-0.12,PATROL,NONE,3.6,79.89,OPTIMA,0.0
0.7,40.0,-44.37,80.0,0.14,PATROL,NONE,3.8,75.78,OPTIMA,0.0
0.71,40.0,-44.38,80.0,0.09,PATROL,NONE,4.0,71.96,OPTIMA,0.0
0.72,40.0,-44.39,80.0,-0.16,PATROL,NONE,4.21,68.44,OPTIMA,0.0
0.73,40.0,-44.4,80.0,0.22,PATROL,NONE,4.4,65.49,OPTIMA,0.0
0.74,40.0,-44.41,80.0,-0.12,PATROL,NONE,4.61,62.46,OPTIMA,0.0
0.75,40.0,-44.43,80.0,0.12,PATROL,NONE,4.8,59.94,OPTIMA,0.0
0.76,40.0,-44.44,80.0,0.17,PATROL,NONE,5.01,57.5,OPTIMA,0.0
0.77,40.0,-44.46,80.0,0.01,PATROL,NONE,5.21,55.28,OPTIMA,0.0
0.78,40.0,-44.47,80.0,0.07,PATROL,NONE,5.41,53.23,OPTIMA,0.0
0.79,40.0,-44.49,80.0,-0.02,PATROL,NONE,5.61,51.33,OPTIMA,0.0
0.8,40.0,-44.51,80.0,0.03,PATROL,NONE,5.81,49.55,OPTIMA,0.0
0.81,40.0,-44.52,49.08,-0.01,PATROL,NONE,6.01,29.38,OPTIMA,0.0
0.82,40.0,-44.54,48.95,0.04,PATROL,NONE,6.21,28.36,OPTIMA,0.0
0.83,40.0,-44.56,48.84,0.1,PATROL,NONE,6.42,27.4,OPTIMA,0.0
0.84,40.0,-44.58,48.75,0.1,PATROL,NONE,6.62,26.52,OPTIMA,0.0
